ESO Period 102 - 103 (105) Protected Guaranteed Time Observations - ESPRESSO,,,,,,,,,,,,,
"Note: Protection column concerns the period for target protection. 6 months is the default, 24 months should be entered if the GTO proposal will run over four periods (GTO-Large).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection ,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months (see Note),
51_Peg,22,57,27.98,20,46,7.79,  ESPRESSO, singleHR21,  anyUT,3,  Pepe,12, -
HD_189733,20,0,43.71,22,42,39.07,  ESPRESSO, singleHR21,  anyUT,12,  Pepe,12, -
HD_209458,22,3,10.77,18,53,3.55,  ESPRESSO, singleHR21,  anyUT,12,  Pepe,12, -
HD_75289,8,47,40.38,-41,44,12.45,  ESPRESSO, singleHR21,  anyUT,6,  Pepe,12, -
tau_Boo,13,47,15.74,17,27,24.85,  ESPRESSO, singleHR21,  anyUT,4,  Pepe,12, -
HD_179949,19,15,33.22,-24,10,45.66,  ESPRESSO, singleHR21,  anyUT,8,  Pepe,12, -
MASCARA-1,21,10,12.37,10,44,19.95,  ESPRESSO, singleHR21,  anyUT,16,  Pepe,12, HD_201585
WASP-76,1,46,31.85,2,42,2.06,  ESPRESSO, singleHR21,  anyUT,15,  Pepe,12, -        
WASP-121,7,10,24.05,-39,5,50.56,  ESPRESSO, singleHR21,  anyUT,14,  Pepe,12, -        
WASP-127,10,42,14.08,-3,50,6.28,  ESPRESSO, singleHR21,  anyUT,16,  Pepe,12, -        
GJ_436,11,42,11.09,26,42,23.65,  ESPRESSO, singleHR21,  anyUT,6,  Pepe,12, -        
WASP-107,12,33,32.84,-10,8,46.14,  ESPRESSO, singleHR21,  anyUT,13,  Pepe,12, -        
KELT-11,10,46,49.74,-9,23,56.48,  ESPRESSO, singleHR21,  anyUT,18,  Pepe,12, -        
55_Cnc,8,52,35.81,28,19,50.95,  ESPRESSO, singleHR21,  anyUT,7,  Pepe,12, -        
HD_3167,0,34,57.52,4,22,53.28,  ESPRESSO, singleHR21,  anyUT,7,  Pepe,12, -        
Corot-7,6,43,49.46,-1,3,46.81,  ESPRESSO, singleHR21,  anyUT,6,  Pepe,12, -        
,,,,,,,,,,,,,
K2-151,1,17,13.09,9,30,5,ESPRESSO,SINGLEHR,anyUT,5,Pepe,12,-
K2-86,3,26,12.67,18,38,8.2,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
BD+20594,3,34,36.23,20,35,57.2,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-111,3,59,33.54,21,17,55.3,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-155,4,21,52.49,21,21,13,ESPRESSO,SINGLEHR,anyUT,12,Pepe,12,-
K2-105,8,21,40.87,13,29,51.1,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
K2-98,8,25,57.19,11,30,40.1,ESPRESSO,SINGLEHR,anyUT,4,Pepe,12,-
